text,label
XBOX LIVE GOLD Oct 20 -7.99,1
"01/28 CRAVE TORONTO ON $24.99 $1,279.42",1
Jan 21 POS PURCHASE HYDRO ONE PREAUTH $25.29,0
"2026-08-05 2026-08-05 adobe *creative cld 5.99 3,768.05",1
2026-12-21 pre-authorized payment google *google one $14.99,1
07/13 PRE-AUTHORIZED PAYMENT GOOGLE*ONE 100GB $14.99,1
Feb 22 INTERAC E-TRF SENT $33.59,0
May 10 PRE-AUTHORIZED PAYMENT TWITCHINTERACTIVE.COM $4.99,1
"07/08 DOLLARAMA #423 $147.56 $2,491.55",0
05/04 SUBWAY FRANCHISE $181.22,0
11/27 STARBUCKS 800-782-7282 255.53,0
06/28 SPOTIFY STOCKHOLM SE 15.49,1
APPLE ONLINE STORE ORDER Nov 20 -137.02,0
Dec 25 Dec 25 HYDRO ONE PREAUTH 35.80,0
08/13 SPOTIFY P2B4F8 $22.99,1
Nov 22 CONTACTLESS PURCHASE GOODLIFE CLUBS MSP 12.99,1
"04/27 SPOTIFY STOCKHOLM SE $14.99 $5,610.95",1
04/13 04/13 NYT*NYTIMES SUBSCRIPTION 24.99 708.09,1
"05/03 NORDSEC LTD 15.49 2,711.93",1
"Jun 03 Jun 03 UBER *EATS PENDING 53.06 3,114.69",0
jul 26 pre-authorized payment rogers communications $258.50,0
Apr 09 PRE-AUTHORIZED PAYMENT ICLOUD+ STORAGE $14.99,1
"2026-11-01 2026-11-01 AMAZON.CA*ORDER 107.56 2,056.52",0
04/07 CONTACTLESS PURCHASE DROPBOX.COM 12.99,1
"02/12 02/12 PAYPAL *EBAY SELLER 89.33 1,636.26",0
NYT*NYTIMES SUBSCRIPTION 2026-08-26 -22.99,1
2026-12-17 CONTACTLESS PURCHASE COSTCO.CA ONLINE 118.72,0
"Nov 17 GREEN P PARKING $106.94 $5,211.38",0
11/22 11/22 chatgpt subscription openai.com 10.99 662.28,1
"2026-03-14 petro-canada 06715 $215.00 $5,135.27",0
Apr 10 Apr 10 WAL-MART #1061 109.12 816.10,0
Apr 20 GOOGLE *PLAY APP $141.70,0
Dec 07 PLANET FITNESS CLUB FEES 12.99,1
May 11 PRIME MEMBER AMZN.CA/BILL 12.99,1
11/02 contactless purchase apple store yorkdale 5.20,0
Nov 09 ABM WITHDRAWAL BR 2214 243.73,0
"Oct 26 APPLE.COM/BILL ON $14.99 $2,010.09",1
12/17 12/17 CINEPLEX ODEON QUEENSWAY 73.28,0
Jul 05 SONY PSN MEMBERSHIP 5.99,1
Oct 19 PRE-AUTHORIZED PAYMENT AUDIBLE*UK8FN2 $10.99,1
2026-07-19 PRE-AUTHORIZED PAYMENT BEST BUY #611 $25.84,0
"Sep 20 Sep 20 ESSO CIRCLE K 71234 6.86 7,552.06",0
Sep 23 BEST BUY #611 26.48,0
Feb 19 POS PURCHASE UBER *EATS PENDING $37.81,0
"2026-07-24 EBAY O*12-34567 214.86 4,739.66",0
2026-10-12 PRE-AUTHORIZED PAYMENT DROPBOX*H3JQ9F $24.99,1
Jul 02 POS PURCHASE ROGERS COMMUNICATIONS $113.00,0
"May 24 May 24 APPLE.COM/BILL 866-712-7753 4.99 7,545.41",1
Jan 19 BELL MOBILITY PREAUTH 14.43,0
2026-12-13 PRE-AUTHORIZED PAYMENT FIDO MOBILE PAYMENT $227.46,0
04/07 CONTACTLESS PURCHASE ACCOUNT MAINTENANCE FEE 76.82,0
2026-06-08 dropbox*h3jq9f 5.99 52.57,1
"2026-07-07 IMPARK00120199U $63.00 $6,018.60",0
2026-02-16 NSF FEE $20.76,0
04/09 AMZN MKTP CA WWW.AMAZON.CA 207.15,0
11/02 HELLOFRESH*WK26 54.99,1
04/25 CONTACTLESS PURCHASE APPLE STORE YORKDALE 218.64,0
"May 28 SHELL CANADA PRODUCTS $70.83 $5,370.18",0
"2026-11-09 2026-11-09 loblaws #1029 95.00 7,301.82",0
11/18 POS PURCHASE XBOX GAME PASS $9.99,1
2026-11-22 OPENAI *CHATGPT SUBSCR 29.99,1
"2026-09-19 2026-09-19 CRAVE ENTERTAINMENT 5.99 7,214.03",1
"Dec 08 Dec 08 BELL MOBILITY PREAUTH 197.10 5,967.57",0
"nov 26 boston pizza #318 $71.70 $2,518.23",0
"10/03 10/03 E-TRANSFER SENT J. SMITH 21.21 7,844.03",0
02/05 OVERDRAFT INTEREST $50.72,0
"2026-03-27 CRUNCHYROLL MEMBERSHIP 24.99 5,401.52",1
Aug 08 IMPARK00120199U $71.20,0
07/13 POS PURCHASE UBER TRIP $235.32,0
09/02 09/02 DROPBOX INTL 54.99,1
07/13 RENT PAYMENT PREAUTH 18.79,0
Sep 14 PRE-AUTHORIZED PAYMENT UBEREATS.COM/BILL $155.28,0
05/05 MCDONALD'S #40265 87.71,0
2026-06-07 SPOTIFY AB 5.99,1
ESSO 7-ELEVEN Dec 15 -104.70,0
2026-04-23 STARBUCKS COFFEE T886 243.05 520.47,0
2026-07-07 pos purchase ebay o*12-34567 $5.53,0
12/04 CONTACTLESS PURCHASE INTACT INSURANCE PYMT 223.88,0
"Dec 08 SONY CRUNCHYROLL 10.99 1,171.83",1
Mar 12 Mar 12 WAL-MART #1061 171.95 326.60,0
2026-05-21 TWITCH.TV/SUBS 11.99,1
"2026-10-08 2026-10-08 NYT*NYTIMES SUBSCRIPTION 24.99 8,518.96",1
10/17 PRE-AUTHORIZED PAYMENT DROPBOX*H3JQ9F $4.99,1
"2026-08-01 ESSO CIRCLE K 71234 $99.59 $8,420.63",0
2026-01-01 adobe *photogphy plan $54.99,1
Jul 10 POS PURCHASE GOOGLE ONE STORAGE $24.99,1
"03/28 GOOGLE PLAY STORE PURCH 199.61 5,510.60",0
10/24 pos purchase cineplex #7712 $170.59,0
ADOBE *CREATIVE CLD 12/08 -19.99,1
04/04 POS PURCHASE ANTHROPIC PBC $54.99,1
2026-02-04 2026-02-04 ACCOUNT MAINTENANCE FEE 209.84,0
12/16 DISNEY+ BURBANK CA 16.49,1
2026-10-09 CONTACTLESS PURCHASE GOODLIFE FITNESS 29.99,1
2026-05-07 ACCOUNT MAINTENANCE FEE 178.10,0
09/24 PRE-AUTHORIZED PAYMENT GOODLIFE CLUBS MSP $4.99,1
"01/11 01/11 GOOGLE YOUTUBE MEMBER 22.99 7,221.83",1
2026-07-25 POS PURCHASE ICLOUD+ STORAGE $12.99,1
"01/13 rent payment preauth 196.19 6,318.81",0
Sep 11 OPENAI SAN FRANCISCO 10.99,1
12/19 PRE-AUTHORIZED PAYMENT PROPERTY MGMT RENT $96.61,0
2026-03-22 CRUNCHYROLL MEMBERSHIP $5.99,1
Dec 24 Dec 24 APPLE ONLINE STORE ORDER 73.93,0
11/10 pos purchase openai *chatgpt subscr $10.99,1
Dec 27 TWITCHINTERACTIVE.COM 29.99,1
Sep 19 POS PURCHASE BELL CANADA OB $36.63,0
2026-06-09 CRAVETV BELL MEDIA 17.99,1
07/13 LCBO/RAO #522 $181.35 $807.55,0
06/06 MORTGAGE PAYMENT TD 138.72,0
"11/13 11/13 UBER EATS 185.75 1,918.94",0
Feb 08 INTERAC E-TRF SENT $250.47,0
07/03 no frills #866 100.79,0
2026-10-10 GOOGLE PLAY STORE PURCH 227.42,0
"Jun 11 PLAYSTATIONNETWORK SUB 7.99 8,838.41",1
06/15 06/15 EXPRESSVPN.COM 54.99,1
2026-12-10 PRE-AUTHORIZED PAYMENT SPOTIFY AB $9.99,1
"10/09 NETFLIX.COM 29.99 6,841.33",1
Jan 14 Jan 14 SHOPPERSDRUGMART 984 252.74,0
2026-04-15 PAY EMPLOYER DEPOSIT 169.01,0
"12/21 12/21 MONTHLY ACCOUNT FEE 205.72 4,685.70",0
"2026-06-08 patreon.com/bill $29.99 $2,585.51",1
Nov 17 CONTACTLESS PURCHASE NO FRILLS #866 241.24,0
Apr 19 CONTACTLESS PURCHASE BELL CANADA BILL PAYMENT 192.13,0
09/28 PRE-AUTHORIZED PAYMENT NORDVPN.COM $54.99,1
2026-08-26 CONTACTLESS PURCHASE TWITCH.TV/SUBS 4.99,1
